Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-11-30,Cleveland Cavaliers,,Earl Clark,placed on IL with illness,64.0,0.0,regular,2013,17.0,False,sick,sick
2013-11-30,Cleveland Cavaliers,,Carrick Felix,placed on IL,57.0,0.0,regular,2013,17.0,False,roaster move,healthy inactive
2013-12-01,Charlotte Bobcats,,James Southerland,placed on IL,62.0,0.0,regular,2013,18.0,False,roaster move,healthy inactive
2013-12-01,Sacramento Kings,,Hamady Ndiaye,placed on IL,66.0,0.0,regular,2013,15.0,False,roaster move,healthy inactive
2013-12-02,New Orleans Pelicans,,Anthony Davis,placed on IL with fractured left hand,58.0,0.0,regular,2013,17.0,False,hand,hand
2013-12-03,Toronto Raptors,,Dwight Buycks,placed on IL,63.0,0.0,regular,2013,17.0,False,roaster move,healthy inactive
2013-12-03,Sacramento Kings,,DeMarcus Cousins,placed on IL with ankle injury,65.0,0.0,regular,2013,16.0,False,ankle,lower leg
2013-12-03,Miami Heat,,Dwyane Wade,placed on IL with illness/flu,62.0,0.0,regular,2013,18.0,False,sick,sick
2013-12-04,Utah Jazz,,Jeremy Evans,placed on IL with flu,61.0,0.0,regular,2013,20.0,False,sick,sick
2013-12-04,Utah Jazz,,Marvin Williams,placed on IL with heel injury,58.0,0.0,regular,2013,20.0,False,heel,foot
2013-12-06,Washington Wizards,,Kevin Seraphin,placed on IL with knee injury,62.0,0.0,regular,2013,19.0,False,knee,knee
2013-12-06,Toronto Raptors,,Aaron Gray,placed on IL,64.0,0.0,regular,2013,18.0,False,roaster move,healthy inactive
2013-12-06,Utah Jazz,,Ian Clark,placed on IL,60.0,0.0,regular,2013,21.0,False,roaster move,healthy inactive
2013-12-06,Charlotte Bobcats,,Michael Kidd-Gilchrist,placed on IL with fractured left hand,43.0,0.0,regular,2013,20.0,False,hand,hand
2013-12-07,Miami Heat,,Michael Beasley,placed on IL with strained left hamstring,61.0,0.0,regular,2013,20.0,False,hamstring,upper leg
2013-12-07,Utah Jazz,,Derrick Favors,placed on IL with sore lower back,58.0,0.0,regular,2013,22.0,False,back,torso
2013-12-07,Sacramento Kings,,Ray McCallum,placed on IL,63.0,0.0,regular,2013,18.0,False,roaster move,healthy inactive
2013-12-08,Toronto Raptors,,Tyler Hansbrough,placed on IL with sprained left shoulder,61.0,0.0,regular,2013,19.0,False,shoulder,torso
2013-12-08,Miami Heat,,Dwyane Wade,placed on IL with resting knees,60.0,0.0,regular,2013,21.0,False,rest,rest
2013-12-09,Washington Wizards,,Al Harrington,placed on IL recovering from arthroscopic surgery on right knee,27.0,0.0,regular,2013,20.0,False,knee,knee
2013-12-10,San Antonio Spurs,,Tiago Splitter,placed on IL with left calf injury,58.0,0.0,regular,2013,20.0,False,calf,lower leg
