Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2019-03-16,Utah Jazz,Dante Exum,placed on IL with right knee injury (out for season),,,regular,2018.0,69,,knee,knee,,70.0,0.0,False,PG,23.0,42.0,1.0,15.8,179.0,663.6,3481.2000000000003
2019-03-16,Boston Celtics,Guerschon Yabusele,placed on IL with illness,,,regular,2018.0,70,,sick,sick,,11.0,0.0,False,PF,23.0,41.0,1.0,6.1,45.0,250.1,282.29999999999995
2019-03-17,Los Angeles Lakers,Lance Stephenson,placed on IL with sprained toe,,,regular,2018.0,70,,toe,foot,,10.0,0.0,False,SG,28.0,68.0,3.0,16.5,439.0,1122.0,11921.9
2019-03-17,Nets,Alan Williams,placed on IL,,,,,-1,,roaster move,healthy inactive,,,,,Unknown,,,,,,,
2019-03-17,Milwaukee Bucks,Malcolm Brogdon,placed on IL with right foot injury,,,regular,2018.0,70,,foot,foot,,12.0,1.0,False,SG,26.0,64.0,64.0,28.6,136.0,1830.4,3784.399999999999
2019-03-17,New York Knicks,Noah Vonleh,placed on IL with sprained right ankle (out for season),,,regular,2018.0,70,,ankle,lower leg,,20.0,0.0,False,PF,23.0,68.0,57.0,25.3,241.0,1720.4,3689.999999999999
2019-03-17,Miami Heat,Justise Winslow,placed on IL with bruised right thigh,,,regular,2018.0,69,,quad,upper leg,,4.0,0.0,False,SF,22.0,66.0,52.0,29.7,182.0,1960.2,4990.2
2019-03-18,Boston Celtics,Robert Williams,placed on IL with illness,,,regular,2018.0,71,,sick,sick,,10.0,0.0,False,C,21.0,32.0,2.0,8.8,0.0,281.6,0.0
2019-03-18,Golden State Warriors,DeMarcus Cousins,placed on IL with sore right ankle,,,regular,2018.0,69,,ankle,lower leg,,11.0,0.0,False,C,28.0,30.0,30.0,25.7,390.0,771.0,13048.8
2019-03-18,Phoenix Suns,Richaun Holmes,placed on IL with strained right quadriceps,,,regular,2018.0,72,,quad,upper leg,,9.0,0.0,False,C,25.0,70.0,4.0,16.9,159.0,1183.0,2650.2
2019-03-18,Phoenix Suns,Kelly Oubre,placed on IL with sprained left thumb (out for season),,,regular,2018.0,72,,finger,hand,,39.0,0.0,False,Unknown,,,,,,,
